State,Station,Note,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2005
Florida,"Jacksonville, Florida",,"48,144","39,709","39,872","63,969","66,471","70,539","70,516","71,084","78,031","94,277","77,512","74,733","70,728","32,231"
Florida,"Kissimmee, Florida",,"26,862","21,158","20,757","35,726","35,028","35,737","37,773","41,424","43,543","44,906","48,521","47,823","43,163","15,659"
Florida,"Lake City, Florida",,,,,,,,,,,,,,,281
Florida,"Lakeland, Florida",,"16,803","7,851","10,733","19,186","18,924","19,479","20,475","21,526","21,816","22,829","25,630","24,696","24,220","6,569"
Florida,"Madison, Florida",,,,,,,,,,,,,,,187
Florida,"Miami, Florida",,"50,992","37,411","39,123","62,497","64,729","66,110","65,975","70,560","78,695","84,293","91,019","94,556","90,561","33,708"
Florida,"Ocala, Florida",,,,,,,,,,,,,,,344
Florida,"Okeechobee, Florida",,"4,104","2,023","2,809","4,109","3,988","3,935","4,193","4,223","4,091","3,851","3,933","3,976","3,536","1,506"
Florida,"Orlando, Florida",,"89,933","73,327","72,267","127,186","127,326","133,248","138,359","145,839","155,532","160,442","172,502","179,142","159,533","70,772"
Florida,"Palatka, Florida",,"8,641","7,171","7,723","12,313","11,598","12,579","12,341","12,568","12,145","12,749","12,803","13,872","13,323","5,439"
Florida,"Pensacola, Florida",,,,,,,,,,,,,,,"1,616"
Florida,"Sanford (Auto Train Station), Florida",,"269,381","197,708","163,468","236,035","224,812","228,943","238,448","271,622","274,445","265,274","264,096","259,944","244,252","100,772"
Florida,"Sebring, Florida",,"10,301","8,619","9,166","14,083","13,847","15,214","16,416","17,397","17,076","17,111","18,202","19,988","18,951","7,603"
Florida,"Tallahassee, Florida",,,,,,,,,,,,,,,"1,216"
Florida,"Tampa, Florida",,"110,901","52,376","65,718","110,309","108,783","110,577","109,456","120,565","131,322","139,412","150,844","140,785","131,054","26,387"
Florida,"Waldo, Florida",,,,,,,,,,,,,,,159
Florida,"West Palm Beach, Florida",,"39,440","28,756","32,819","53,716","53,974","54,828","57,038","59,071","62,990","64,994","67,992","66,303","62,233","24,345"
Florida,"Wildwood, Florida",,,,,,,,,,,,,,,98
Florida,"Winter Haven, Florida",,"17,397","15,227","13,321","19,757","20,503","20,598","21,684","21,965","22,273","22,025","24,565","26,188","22,992","11,353"
Florida,"Winter Park, Florida",,"16,388","12,993","14,828","27,047","25,844","27,253","28,205","28,310","29,013","30,142","33,455","34,858","31,962","11,738"
Georgia,"Atlanta, Georgia",,"49,579","34,941","41,277","68,112","72,197","77,751","79,915","85,252","95,630","99,005","104,854","114,938","112,364","44,229"
Georgia,"Gainesville, Georgia",,"3,320","2,188","3,157","5,227","5,032","5,493","5,028","6,176","6,448","6,464","9,387","5,921","5,187","2,238"
Georgia,"Jesup, Georgia",,"5,959","5,221","6,051","9,767","9,461","9,648","10,091","10,284","10,636","10,692","10,086","9,900","9,106","2,984"
Georgia,"Savannah, Georgia",,"48,796","32,763","33,600","56,220","53,769","57,180","55,654","59,801","63,016","71,658","72,321","69,379","65,656","19,427"
Georgia,"Toccoa, Georgia",,"1,304",875,"1,375","2,381","2,324","3,407","2,516","2,640","3,021","4,266","4,434","3,826","3,497","1,586"
Idaho,"Sandpoint, Idaho",,"4,537","3,594","4,186","6,726","7,166","7,366","7,510","7,867","8,489","9,196","8,815","5,296","5,606","2,721"
Illinois,"Alton, Illinois",,"49,368","23,178","29,749","63,310","67,225","64,420","59,809","61,249","68,584","73,043","63,027","50,220","64,674","16,683"
Illinois,"Bloomington/Normal, Illinois",,"178,018","91,842","116,921","229,894","238,626","241,844","226,212","254,317","261,631","263,235","239,981","244,566","209,629","47,201"
Illinois,"Carbondale, Illinois",,"55,051","40,761","50,761","84,495","91,264","100,858","101,845","117,922","129,446","135,891","140,093","136,920","116,094","38,905"
Illinois,"Carlinville, Illinois",,"8,053","4,000","5,521","11,172","12,089","10,062","10,138","9,626","11,295","13,418","10,557","7,831","11,364","2,680"
Illinois,"Centralia, Illinois",,"11,025","7,945","11,132","20,606","20,783","20,710","21,297","24,804","26,674","27,618","26,496","25,275","22,009","5,926"
Illinois,"Champaign-Urbana, Illinois",,"173,549","103,739","113,548","180,427","155,614","158,951","162,050","172,877","178,487","190,851","178,353","164,404","142,406","39,863"
Illinois,"Chicago, Illinois",,"2,359,084","1,336,525","1,688,452","3,331,513","3,388,307","3,388,051","3,247,117","3,295,630","3,377,259","3,522,388","3,483,313","3,393,695","3,288,054","1,226,962"
Illinois,"Du Quoin, Illinois",,"4,196","3,108","4,389","7,949","8,309","8,717","8,972","10,197","11,362","11,481","10,776","10,241","9,250","2,103"
Illinois,"Dwight, Illinois",,"4,941","3,871","5,249","10,073","9,913","10,058","9,361","10,191","10,995","10,763","10,184","8,937","9,911","2,263"
Illinois,"Effingham, Illinois",,"12,798","8,242","12,713","23,619","24,384","25,907","26,276","27,195","29,330","29,359","28,530","25,641","22,394","5,179"
Illinois,"Galesburg, Illinois",,"59,510","38,637","50,273","90,796","94,267","100,287","98,613","100,503","100,871","103,717","106,491","104,208","102,851","36,489"
Illinois,"Gilman, Illinois",,"1,373","1,334","1,365","2,128","2,317","2,371","2,540","3,138","3,333","3,257","2,862","2,758","2,172",474
Illinois,"Glenview, Illinois",,"38,221","20,571","31,551","62,347","55,496","55,216","55,340","58,143","58,882","65,849","71,827","70,494","66,629","20,617"
Illinois,"Homewood, Illinois",,"26,722","10,299","22,994","36,588","36,151","36,850","37,102","41,499","44,624","46,552","43,055","39,443","34,233","11,013"
